Name,,City,,,,,
Avenir Medical,,Waterloo,,,,,
Backspin,,Toronto,,,,,
BatchGeo,,,,,,,
Beanworks,,Vancouver,,,,,
Bench,,,,,,,
Beyond One Eighty,,,,,,,
Blu Trumpet,,,,,,,
Blueprint Software,,Toronto,,,,,
C.R. Visuals,,Kitchener,,,,,
Caliper.io,,Vancouver,,,,,
Canopy,,,,,,,
Canopy Labs,,Toronto,,,,,
CeelDeel,,,,,,,
Clearfit,,Toronto,,,,,
Client Outlook,,,,,,,
Cloud Dynamics Inc.,,Toronto,,,,,
Compilr,,Halifax,,,,,
Condo Royalty,,Toronto,,,,,
Coveo,,,,,,,
CuteGecko,,Kitchener,,,,,
Dealathons.com,,Toronto,,,,,
Dropcam,,San Francisco,,,,,
"E-Twenty Development, Inc.",,Toronto,,,,,
Encycle Therapeutics,,Toronto,,,,,
eQuizzle,,Toronto,,,,,
Event Holler,,Seattle,,,,,
FabSpaces,,Toronto,,,,,
Fargifts,,Toronto,,,,,
FileMobile,,Toronto,,,,,
Flee,,Toronto,,,,,
FlyerFlo,,Toronto,,,,,
FolioSpace,,,,,,,
FranchiseBlast,,,,,,,
FreshTransition,,Toronto,,,,,
Fully Equipped Media Inc.,,Toronto,,,,,
Gazoo Mobile,,,,,,,
GoodCallInc,,Mississauga,,,,,
Grand St,,,,,,,
GreenCore,,,,,,,
GreenOwl Mobile,,,,,,,
Greenscroll,,Toronto,,,,,
Grossman Dorland,,Toronto,,,,,
Hammerati,,"Toronto, San fran",,,,,
Hexoskin,,Montreal,,,,,
Hillview Technologies Inc.,,San Francisco - Bay Area,,,,,
Hotspotio,,,,,,,
I Think Security,,Waterloo,,,,,
Inceptive Solutions,,,,,,,
inMotive,,Etobicoke,,,,,
Innohub,,Toronto,,,,,
Invoke Media,,,,,,,
iPowow,,Sydney,,,,,
Jobdeals.com,,Toronto,,,,,
Jugnoo,,Toronto,,,,,
Kaizena,,,,,,,
Keek,,Toronto,,,,,
Kidoodle,,,,,,,
Kira Talent,,,,,,,
LazyMeal,,Burnaby,,,,,
Locationary,,Toronto,,,,,
LoginRadius,,Edmonton,,,,,
Make Lab,,,,,,,
MediSherpa,,Toronto,,,,,
Metacloud,,Pasadena,,,,,
Mobiroo,,Toronto,,,,,
Mojio,,Vancouver,,,,,
MoPals,,Toronto,,,,,
My Legal Briefcase,,,,,,,
Myplanet Digital,,Markham,,,,,
Nest,,,,,,,
Oikoi,,Waterloo,,,,,
Onespout,,Toronto,,,,,
Oomf,,,,,,,
Payfirma,,,,,,,
Pinpoint Social,,,,,,,
Plasticity Soft,,Waterloo,,,,,
Polar Mobile,,Toronto,,,,,
Polkafox,,,,,,,
ProductWiki,,Waterloo,,,,,
Qwyrk Media Inc.,,Toronto,,,,,
Rayku,,Toronto,,,,,
Recon Instruments,,,,,,,
RENOMii Technologies,,Waterloo,,,,,
RosterBot,,,,,,,
Ryatta,,Toronto,,,,,
Sandglaz,,Toronto,,,,,
Screenlight,,Toronto,,,,,
Shift Health Paradigms,,,,,,,
Shopcaster,,,,,,,
Simply Back Office,,,,,,,
Smile Epidemic,,Waterloo,,,,,
Sociacal,,,,,,,
Social Bungy,,Toronto,,,,,
SoJo,,Toronto,,,,,
sokanu,,,,,,,
Spinzo,,Saint John,,,,,
Strutta,,,,,,,
Stylemap,,,,,,,
Sumbola,,,,,,,
Switch Marketing,,Toronto,,,,,
Szello,,Ottawa,,,,,
Tacit Innovations,,,,,,,
Thinkific,,,,,,,
Toronto ShopKart,,,,,,,
Transit Labs,,,,,,,
uptime software,,Toronto,,,,,
Urban Hamper,,Toronto,,,,,
UXP systems,,Toronto,,,,,
Vanilla Forums,,,,,,,
Vantrix,,Montreal,,,,,
Verelo,,,,,,,
Vive Crop Protection,,Toronto,,,,,
Wattpad,,Toronto,,,,,
weddingful,,,,,,,
WhatRunsWhere,,,,,,,
WhatsNexx,,,,,,,
Whiteyboard,,Calabasas,,,,,
ZestFuse,,,,,,,
